2960982,Webbsborough,Webbsborough,"Webbsborough,Webbsborough House",52.75083,-7.23111,S,BLDG,IE,IE,L,13,"","",0,"",105,Europe/Dublin,2012-01-18
2960983,Weatherstown,Weatherstown,"",52.37361,-7.03944,P,PPL,IE,"",L,13,"","",0,"",109,Europe/Dublin,2010-08-14
2960984,Waterville,Waterville,"An Coirean,An Coireán,Waterville,Waterville-Spunkane",51.83333,-10.16667,P,PPL,IE,"",M,11,"","",465,"",25,Europe/Dublin,2017-07-30
2960985,Waterstown House,Waterstown House,"Waterstown,Waterstown House",53.46667,-7.85,S,EST,IE,"",L,29,"","",0,"",59,Europe/Dublin,2012-01-18
2960986,Waterloo,Waterloo,"",53.93333,-7.13028,P,PPL,IE,"",U,02,"","",0,"",169,Europe/Dublin,2010-08-14
2960987,Watergrasshill,Watergrasshill,"Cnocan na Biolrai,Cnocán na Biolraí,Watergrasshill",52.01139,-8.34417,P,PPL,IE,"",M,04,"","",1161,"",182,Europe/Dublin,2013-11-26
2960988,Waterford North Station,Waterford North Station,"Waterford,Waterford North Station",52.26667,-7.11667,S,RSTN,IE,IE,L,13,"","",0,"",35,Europe/Dublin,2012-01-18
2960989,Waterford Manor Station,Waterford Manor Station,"Manor Station,Waterford Manor Station",52.25,-7.11667,S,RSTN,IE,IE,M,44,"","",0,"",4,Europe/Dublin,2017-07-25
2960990,Waterford Harbour,Waterford Harbour,Waterford Harbour,52.17917,-6.93056,H,ESTY,IE,"",00,"","","",0,"",-9999,Europe/Dublin,2012-01-18
2960991,Waterford,Waterford,"Contae Phort Lairge,Contae Phort Láirge,County Waterford,Port Lairge,Port Láirge,Waterford",52.25,-7.5,A,ADM2H,IE,"",M,27,"","",67063,"",189,Europe/Dublin,2017-07-24
